global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,44.14146,31.829971,,,,,,,,,,,,,,
1,,,32.387848,1.3955485058197952,31.163591,1.043146644525329,5348.0,31.279486,1.0976986980277457,2472.0,35.57791781425476,174.5587763786316,35.57791781425476,138.98080229759216,0.0,0.0
100,2.5681877,6.6499853,,,,,,,,,,,,,,
200,0.6175644,5.9323616,,,,,,,,,,,,,,
300,0.47367212,5.836099,,,,,,,,,,,,,,
400,0.57608837,5.8060217,,,,,,,,,,,,,,
500,0.570951,5.810319,,,,,,,,,,,,,,
600,0.58105797,5.793974,,,,,,,,,,,,,,
700,1.9093612,5.78246,,,,,,,,,,,,,,
800,1.6847188,5.78802,,,,,,,,,,,,,,
900,3.6546555,5.798966,,,,,,,,,,,,,,
1000,1.9925528,5.7740664,,,,,,,,,,,,,,
1100,4.241114,5.7303276,,,,,,,,,,,,,,
1200,1.5411026,5.534539,,,,,,,,,,,,,,
1300,2.2268846,5.491662,,,,,,,,,,,,,,
1400,8.061101,5.5868864,,,,,,,,,,,,,,
1500,1.1307198,4.7472553,,,,,,,,,,,,,,
1600,0.78331465,4.1657104,,,,,,,,,,,,,,
1685,,,6.3702335,0.936353811149033,6.3203735,0.895440107359742,5348.0,6.330534,0.8973046533828936,2472.0,1475.9603667259216,1728.061883211136,1475.9603667259216,251.99166750907887,0.0357248783111572,0.0
1700,1.2086877,3.8545601,,,,,,,,,,,,,,
1800,0.9246079,3.6348648,,,,,,,,,,,,,,
1900,1.6033845,3.412395,,,,,,,,,,,,,,
2000,1.0228087,3.2941463,,,,,,,,,,,,,,
2100,1.0632932,3.140467,,,,,,,,,,,,,,
2200,1.2216462,3.0859106,,,,,,,,,,,,,,
2300,0.9238248,2.9741583,,,,,,,,,,,,,,
2400,1.3426936,2.9254966,,,,,,,,,,,,,,
2500,1.3516728,2.870893,,,,,,,,,,,,,,
2600,0.97571826,2.7271962,,,,,,,,,,,,,,
2700,1.8047405,2.6853654,,,,,,,,,,,,,,
2800,0.8620672,2.5728855,,,,,,,,,,,,,,
2900,1.1347735,2.6154032,,,,,,,,,,,,,,
3000,1.9072491,2.4839513,,,,,,,,,,,,,,
3100,0.8526655,2.4275742,,,,,,,,,,,,,,
3200,1.0511534,2.3777027,,,,,,,,,,,,,,
3300,0.7725561,2.3354986,,,,,,,,,,,,,,
3376,,,2.8703103,0.5950224159334732,2.8294756,0.5699334794404163,5348.0,2.5039368,0.5188999248471554,2472.0,2916.4242436885834,3300.489486694336,2916.4242436885834,383.8297390937805,0.0865085124969482,0.0
3400,0.8101665,2.2195213,,,,,,,,,,,,,,
3500,1.0958052,2.243652,,,,,,,,,,,,,,
3600,0.7777608,2.1736102,,,,,,,,,,,,,,
3700,0.79648817,2.1491745,,,,,,,,,,,,,,
3800,0.8138519,2.086443,,,,,,,,,,,,,,
3900,0.74327844,2.1805263,,,,,,,,,,,,,,
4000,1.0745735,2.045133,,,,,,,,,,,,,,
4100,0.7393088,2.0551164,,,,,,,,,,,,,,
4200,0.64688265,1.9634243,,,,,,,,,,,,,,
4300,1.0275608,1.9907805,,,,,,,,,,,,,,
4400,0.7845382,1.9503257,,,,,,,,,,,,,,
4500,0.7749285,1.9262706,,,,,,,,,,,,,,
4600,0.6815733,1.9688025,,,,,,,,,,,,,,
4700,0.8013006,1.8370807,,,,,,,,,,,,,,
4800,0.7469476,1.8580246,,,,,,,,,,,,,,
4900,0.80096316,1.8886014,,,,,,,,,,,,,,
5000,0.8308872,1.8308898,,,,,,,,,,,,,,
5050,,,0.83288306,0.2686575402958711,0.9431758,0.2808055842513299,5348.0,0.66521096,0.2190197631669815,2472.0,4356.522769451141,4878.47324180603,4356.522769451141,521.587308883667,0.1410958766937255,0.0
5100,0.79773253,1.8254658,,,,,,,,,,,,,,
5200,0.59613746,1.8154494,,,,,,,,,,,,,,
5300,0.7553264,1.7908776,,,,,,,,,,,,,,
5400,0.56864923,1.776155,,,,,,,,,,,,,,
5500,0.9451816,1.8026675,,,,,,,,,,,,,,
5600,0.95368695,1.8096114,,,,,,,,,,,,,,
5700,0.67771256,1.8604559,,,,,,,,,,,,,,
5800,0.62773067,1.7588185,,,,,,,,,,,,,,
5900,0.6930454,1.7801868,,,,,,,,,,,,,,
6000,0.7556577,1.6990595,,,,,,,,,,,,,,
6100,0.9305669,1.7312063,,,,,,,,,,,,,,
6200,0.94173324,1.6220701,,,,,,,,,,,,,,
6300,0.6209583,1.6724524,,,,,,,,,,,,,,
6400,0.689005,1.6993127,,,,,,,,,,,,,,
6500,0.59158593,1.649292,,,,,,,,,,,,,,
6600,1.5282402,1.614341,,,,,,,,,,,,,,
6700,0.6808628,1.70236,,,,,,,,,,,,,,
6740,,,0.6040004,0.2079973718639594,0.74008816,0.2246444674010639,5348.0,0.48961702,0.1671846119472711,2472.0,5797.023282766342,6451.637514591217,5797.023282766342,654.1273121833801,0.1892614364624023,0.0
6800,0.61469597,1.6188918,,,,,,,,,,,,,,
6900,0.70728874,1.6057281,,,,,,,,,,,,,,
7000,0.8878753,1.6760151,,,,,,,,,,,,,,
7100,0.64738977,1.6414944,,,,,,,,,,,,,,
7200,0.71632475,1.6266865,,,,,,,,,,,,,,
7300,0.6955349,1.5956937,,,,,,,,,,,,,,
7400,0.79316586,1.5727377,,,,,,,,,,,,,,
7500,0.58098483,1.6387917,,,,,,,,,,,,,,
7600,0.64454454,1.5391358,,,,,,,,,,,,,,
7700,0.8437667,1.6082504,,,,,,,,,,,,,,
7800,0.55873585,1.5789899,,,,,,,,,,,,,,
7900,0.5941433,1.5358825,,,,,,,,,,,,,,
8000,0.6434638,1.5579911,,,,,,,,,,,,,,
8100,0.68713826,1.5638163,,,,,,,,,,,,,,
8200,0.6619916,1.6175086,,,,,,,,,,,,,,
8300,0.71588224,1.4916267,,,,,,,,,,,,,,
8400,0.8090252,1.5376118,,,,,,,,,,,,,,
8450,,,0.49352032,0.1710689262302751,0.6651629,0.2010581499753806,5348.0,0.4210605,0.1426279121727296,2472.0,7236.972342252731,8024.497707366943,7236.972342252731,786.9121985435486,0.2403411865234375,0.0
8500,0.5791571,1.5627813,,,,,,,,,,,,,,
8600,0.6594584,1.5578263,,,,,,,,,,,,,,
8700,0.6456313,1.5360272,,,,,,,,,,,,,,
8800,0.74800754,1.5876312,,,,,,,,,,,,,,
8900,0.6192822,1.532116,,,,,,,,,,,,,,
9000,0.6413133,1.5383703,,,,,,,,,,,,,,
9100,0.5799464,1.5205314,,,,,,,,,,,,,,
9200,0.60447246,1.49934,,,,,,,,,,,,,,
9300,0.5766881,1.480134,,,,,,,,,,,,,,
9400,0.7715793,1.4726605,,,,,,,,,,,,,,
9500,0.7179313,1.5282732,,,,,,,,,,,,,,
9600,0.6554888,1.4908276,,,,,,,,,,,,,,
9700,0.56835425,1.5435114,,,,,,,,,,,,,,
9800,0.60837454,1.5138226,,,,,,,,,,,,,,
9900,0.79028714,1.43802,,,,,,,,,,,,,,
10000,0.6530944,1.4586806,,,,,,,,,,,,,,
10100,0.6256141,1.4871912,,,,,,,,,,,,,,
10149,,,0.29691428,0.1110461656180921,0.6043157,0.1861996389159755,5348.0,0.3722067,0.1262974021489651,2472.0,8677.129787445068,9625.68328166008,8677.129787445068,947.81329536438,0.2935667037963867,0.0
10200,0.65324455,1.5412415,,,,,,,,,,,,,,
10300,0.6393015,1.4745162,,,,,,,,,,,,,,
10400,0.6540031,1.4609996,,,,,,,,,,,,,,
10500,0.7166896,1.405619,,,,,,,,,,,,,,
10600,0.61184335,1.4414574,,,,,,,,,,,,,,
10700,0.6226299,1.505586,,,,,,,,,,,,,,
10800,0.6062006,1.4393847,,,,,,,,,,,,,,
10900,0.68690467,1.4776208,,,,,,,,,,,,,,
11000,0.61568165,1.3880268,,,,,,,,,,,,,,
11100,0.6046046,1.4202391,,,,,,,,,,,,,,
11200,0.6326718,1.4322032,,,,,,,,,,,,,,
11300,0.73993385,1.4541326,,,,,,,,,,,,,,
11400,0.70225894,1.4272041,,,,,,,,,,,,,,
11500,0.6236221,1.3986022,,,,,,,,,,,,,,
11600,0.6560986,1.4002331,,,,,,,,,,,,,,
11700,0.6523136,1.4994048,,,,,,,,,,,,,,
11800,0.55710644,1.3949062,,,,,,,,,,,,,,
11875,,,0.27041242,0.099588036967578,0.57668215,0.175357463529548,5348.0,0.35247084,0.1216257388337091,2472.0,10117.744185447693,11204.992297172546,10117.744185447693,1086.3854405879974,0.3410470485687256,0.0
11900,0.5649074,1.4282651,,,,,,,,,,,,,,
12000,0.7619122,1.4007657,,,,,,,,,,,,,,
12100,0.6506184,1.4266342,,,,,,,,,,,,,,
12200,0.6069252,1.4209019,,,,,,,,,,,,,,
12300,0.7160285,1.4044089,,,,,,,,,,,,,,
12400,0.5581915,1.3858738,,,,,,,,,,,,,,
12500,0.6287035,1.4071938,,,,,,,,,,,,,,
12600,0.7285196,1.4084707,,,,,,,,,,,,,,
12700,0.62460804,1.4360863,,,,,,,,,,,,,,
12800,0.68141973,1.4022437,,,,,,,,,,,,,,
12900,0.56521755,1.3622942,,,,,,,,,,,,,,
