global_step,grad_norm,loss,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,0.6918318,6.925329,,,,,,,,,,,,,,
1,,,0.0011360011994838,6.912071704864502,0.0011199999134987,6.912059783935547,50000.0,0.0009000000427477,6.912177562713623,10000.0,34.98110485076904,52.88213634490967,34.98110485076904,17.900901556015015,0.0,0.0
100,0.6605497,6.9031887,,,,,,,,,,,,,,
200,0.66838104,6.859374,,,,,,,,,,,,,,
300,0.7106597,6.7713594,,,,,,,,,,,,,,
400,0.74135804,6.6677914,,,,,,,,,,,,,,
500,0.8236008,6.592644,,,,,,,,,,,,,,
600,0.83506924,6.44412,,,,,,,,,,,,,,
700,0.87176454,6.3434825,,,,,,,,,,,,,,
800,1.0219997,6.2212377,,,,,,,,,,,,,,
900,1.2797405,6.1169868,,,,,,,,,,,,,,
1000,1.8294537,6.051275,,,,,,,,,,,,,,
1100,2.4579573,5.85211,,,,,,,,,,,,,,
1200,4.7569213,5.8215847,,,,,,,,,,,,,,
1300,2.426664,5.7337084,,,,,,,,,,,,,,
1400,2.4091556,5.630808,,,,,,,,,,,,,,
1500,3.9885478,5.5422153,,,,,,,,,,,,,,
1508,,,0.0686383917927742,5.3621506690979,0.0652799978852272,5.418907165527344,50000.0,0.0460000038146972,5.649470329284668,10000.0,545.0515990257263,580.9545924663544,545.0515990257263,35.82946801185608,0.0212481021881103,0.0
1600,2.53721,5.455859,,,,,,,,,,,,,,
1700,3.9927826,5.4505234,,,,,,,,,,,,,,
1800,3.0819147,5.318719,,,,,,,,,,,,,,
1900,3.2706342,5.2140975,,,,,,,,,,,,,,
2000,3.913796,5.171115,,,,,,,,,,,,,,
2100,4.6674557,5.074688,,,,,,,,,,,,,,
2200,4.2126503,5.0502615,,,,,,,,,,,,,,
2300,6.2003636,4.9508066,,,,,,,,,,,,,,
2400,4.526266,4.9331083,,,,,,,,,,,,,,
2500,4.2254987,4.9629583,,,,,,,,,,,,,,
2600,3.5820367,4.816556,,,,,,,,,,,,,,
2700,5.1409073,4.7009153,,,,,,,,,,,,,,
2800,5.9813867,4.684201,,,,,,,,,,,,,,
2900,4.9089665,4.524418,,,,,,,,,,,,,,
3000,6.237407,4.6330347,,,,,,,,,,,,,,
3015,,,0.1673309952020645,4.278256893157959,0.1536999940872192,4.376176357269287,50000.0,0.1108000054955482,4.82637882232666,10000.0,1055.0695431232452,1108.7527313232422,1055.0695431232452,53.52310228347778,0.0560157299041748,0.0
3100,5.013001,4.59711,,,,,,,,,,,,,,
3200,8.40671,4.4264154,,,,,,,,,,,,,,
3300,4.627994,4.3527784,,,,,,,,,,,,,,
3400,6.604889,4.533375,,,,,,,,,,,,,,
3500,5.391113,4.2892876,,,,,,,,,,,,,,
3600,4.53213,4.345494,,,,,,,,,,,,,,
3700,4.5998297,4.2678337,,,,,,,,,,,,,,
3800,7.6352344,4.166814,,,,,,,,,,,,,,
3900,6.898203,4.174037,,,,,,,,,,,,,,
4000,7.079673,4.1589994,,,,,,,,,,,,,,
4100,7.8777766,4.068376,,,,,,,,,,,,,,
4200,7.3467884,3.9160156,,,,,,,,,,,,,,
4300,4.4655275,3.9996865,,,,,,,,,,,,,,
4400,7.3388705,3.6758366,,,,,,,,,,,,,,
4500,8.104232,3.790757,,,,,,,,,,,,,,
4521,,,0.2669403553009033,3.528772592544556,0.245739996433258,3.66829776763916,50000.0,0.1792000085115432,4.221713066101074,10000.0,1565.034935951233,1636.450201511383,1565.034935951233,71.17259407043457,0.0849447250366211,0.0
4600,12.099805,3.8777313,,,,,,,,,,,,,,
4700,7.2592726,3.8515558,,,,,,,,,,,,,,
4800,7.803293,3.732893,,,,,,,,,,,,,,
4900,5.875465,3.7151234,,,,,,,,,,,,,,
5000,6.4340086,3.713931,,,,,,,,,,,,,,
5100,9.190918,3.627798,,,,,,,,,,,,,,
5200,8.083566,3.6541605,,,,,,,,,,,,,,
5300,8.566788,3.5153763,,,,,,,,,,,,,,
5400,6.340848,3.4977949,,,,,,,,,,,,,,
5500,8.5301075,3.643642,,,,,,,,,,,,,,
5600,6.198027,3.4304996,,,,,,,,,,,,,,
5700,8.770251,3.5450628,,,,,,,,,,,,,,
5800,6.5355525,3.3984222,,,,,,,,,,,,,,
5900,8.115816,3.4771125,,,,,,,,,,,,,,
6000,5.0551977,3.33284,,,,,,,,,,,,,,
6028,,,0.3638791441917419,2.9160544872283936,0.3346199989318847,3.083531141281128,50000.0,0.249300017952919,3.7188665866851807,10000.0,2075.2632479667664,2165.413183450699,2075.2632479667664,89.82699704170227,0.1136150360107421,0.0
6100,5.5315905,3.328334,,,,,,,,,,,,,,
6200,6.5476875,3.2343206,,,,,,,,,,,,,,
6300,10.031163,3.4289308,,,,,,,,,,,,,,
6400,6.7959857,3.3897252,,,,,,,,,,,,,,
6500,9.299929,3.1957593,,,,,,,,,,,,,,
6600,6.222101,3.2700276,,,,,,,,,,,,,,
6700,6.613223,3.1213877,,,,,,,,,,,,,,
6800,4.905024,3.1571307,,,,,,,,,,,,,,
6900,9.618085,3.023005,,,,,,,,,,,,,,
7000,5.1729727,2.8959858,,,,,,,,,,,,,,
7100,10.577727,3.0257537,,,,,,,,,,,,,,
7200,8.897513,2.9858875,,,,,,,,,,,,,,
7300,8.26587,3.026681,,,,,,,,,,,,,,
7400,7.710528,3.114067,,,,,,,,,,,,,,
7500,5.821417,2.9316084,,,,,,,,,,,,,,
7535,,,0.4528658986091614,2.3958868980407715,0.4010199904441833,2.6911749839782715,50000.0,0.3009000122547149,3.3908586502075195,10000.0,2585.3535408973694,2693.6622858047485,2585.3535408973694,107.9004201889038,0.1459236145019531,0.0
7600,7.2101984,2.8826833,,,,,,,,,,,,,,
7700,7.1638155,2.9599566,,,,,,,,,,,,,,
7800,8.931111,2.923713,,,,,,,,,,,,,,
7900,9.562929,2.904343,,,,,,,,,,,,,,
8000,7.8379383,2.7829208,,,,,,,,,,,,,,
8100,5.395839,2.8776,,,,,,,,,,,,,,
8200,7.9072013,2.7894106,,,,,,,,,,,,,,
8300,12.501923,2.7491832,,,,,,,,,,,,,,
8400,7.3359165,2.8245344,,,,,,,,,,,,,,
8500,6.561498,2.8731294,,,,,,,,,,,,,,
8600,7.3160796,2.894598,,,,,,,,,,,,,,
8700,5.7141385,2.6452725,,,,,,,,,,,,,,
8800,6.2034616,2.688836,,,,,,,,,,,,,,
8900,8.929108,2.6484401,,,,,,,,,,,,,,
9000,6.2237372,2.7607265,,,,,,,,,,,,,,
9043,,,0.4929049611091614,2.165973901748657,0.438539981842041,2.4691154956817627,50000.0,0.3348000049591064,3.1936228275299072,10000.0,3095.388578891754,3221.8932802677155,3095.388578891754,126.01309251785278,0.1767423152923584,0.0
9100,5.910812,2.651039,,,,,,,,,,,,,,
9200,5.630504,2.6815853,,,,,,,,,,,,,,
9300,6.1672482,2.667395,,,,,,,,,,,,,,
9400,5.948908,2.5611534,,,,,,,,,,,,,,
9500,8.340653,2.550097,,,,,,,,,,,,,,
9600,6.6299834,2.687902,,,,,,,,,,,,,,
9700,8.407662,2.7546496,,,,,,,,,,,,,,
9800,6.604457,2.6349857,,,,,,,,,,,,,,
9900,4.4601803,2.6720328,,,,,,,,,,,,,,
10000,7.8588142,2.595665,,,,,,,,,,,,,,
10100,7.3966475,2.7037334,,,,,,,,,,,,,,
10200,7.062016,2.6334798,,,,,,,,,,,,,,
