global_step,grad_norm,loss,train/ctc_loss,train/wer,validation/ctc_loss,validation/wer,validation/num_examples,test/ctc_loss,test/wer,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,22.598402,33.018986,,,,,,,,,,,,,,
1,,,31.12199,3.282438151130771,30.351221,3.0459561485658013,5348.0,30.536505,3.361383624804501,2472.0,15.840157985687256,197.21963810920715,15.840157985687256,181.3793807029724,0.0,0.0
100,4.004505,5.7958865,,,,,,,,,,,,,,
200,2.391825,5.0599575,,,,,,,,,,,,,,
300,2.4677982,3.7760694,,,,,,,,,,,,,,
400,3.0403495,3.3089952,,,,,,,,,,,,,,
500,2.4812646,3.0648465,,,,,,,,,,,,,,
600,2.2952778,2.87627,,,,,,,,,,,,,,
700,2.478006,2.8306448,,,,,,,,,,,,,,
800,5.3073893,2.6918132,,,,,,,,,,,,,,
900,3.2582383,2.6748648,,,,,,,,,,,,,,
1000,3.890757,2.5825086,,,,,,,,,,,,,,
1100,2.5635576,2.458304,,,,,,,,,,,,,,
1200,2.5699742,2.4497383,,,,,,,,,,,,,,
1300,2.4727783,2.3307934,,,,,,,,,,,,,,
1400,3.1793873,2.3054821,,,,,,,,,,,,,,
1500,3.078123,2.3373687,,,,,,,,,,,,,,
1600,5.1972966,2.2939796,,,,,,,,,,,,,,
1700,4.453969,2.2445626,,,,,,,,,,,,,,
1800,2.0023088,2.258729,,,,,,,,,,,,,,
1866,,,1.4378089,0.3935562282917147,1.5070161,0.3872867528505363,5348.0,1.1032181,0.3216947982044563,2472.0,1456.1781809329989,1767.3490042686462,1456.1781809329989,311.0581033229828,0.0296719074249267,0.0
1900,2.643239,2.164547,,,,,,,,,,,,,,
2000,2.5756795,2.139079,,,,,,,,,,,,,,
2100,2.606976,2.1484218,,,,,,,,,,,,,,
2200,2.4134338,2.1612408,,,,,,,,,,,,,,
2300,3.2076151,2.155547,,,,,,,,,,,,,,
2400,2.9048028,2.161336,,,,,,,,,,,,,,
2500,2.8748124,2.2174892,,,,,,,,,,,,,,
2600,2.9985373,2.1462615,,,,,,,,,,,,,,
2700,2.265158,2.146223,,,,,,,,,,,,,,
2800,2.7730699,2.2158782,,,,,,,,,,,,,,
2900,2.5874665,2.0791306,,,,,,,,,,,,,,
3000,4.2925506,2.1161716,,,,,,,,,,,,,,
3100,2.328296,2.0975628,,,,,,,,,,,,,,
3200,2.9015594,2.105783,,,,,,,,,,,,,,
3300,3.6202428,2.106225,,,,,,,,,,,,,,
3400,3.899725,2.173953,,,,,,,,,,,,,,
3500,1.9632603,2.084718,,,,,,,,,,,,,,
3600,3.2614646,2.11952,,,,,,,,,,,,,,
3700,2.3742063,1.9985679,,,,,,,,,,,,,,
3736,,,1.0180577,0.3027155629291672,1.064015,0.2916574142908175,5348.0,0.7128284,0.2208681169134523,2472.0,2896.190999746322,3336.9190402030945,2896.190999746322,440.4767470359802,0.0824496746063232,0.0
3800,3.4248717,2.0694554,,,,,,,,,,,,,,
3900,4.192684,2.0303657,,,,,,,,,,,,,,
4000,3.313357,2.0541804,,,,,,,,,,,,,,
4100,3.8359668,1.9805275,,,,,,,,,,,,,,
4200,4.312417,2.073807,,,,,,,,,,,,,,
4300,3.359871,2.0482638,,,,,,,,,,,,,,
4400,4.272013,2.0825748,,,,,,,,,,,,,,
4500,2.6972034,2.0940115,,,,,,,,,,,,,,
4600,2.8963664,2.0319414,,,,,,,,,,,,,,
4700,2.780874,2.0582645,,,,,,,,,,,,,,
4800,2.8333597,2.0288656,,,,,,,,,,,,,,
4900,5.3776903,2.0402582,,,,,,,,,,,,,,
5000,2.4699655,2.0818682,,,,,,,,,,,,,,
5100,2.8024101,1.9870381,,,,,,,,,,,,,,
5200,2.754062,2.024565,,,,,,,,,,,,,,
5300,3.2122695,1.9938073,,,,,,,,,,,,,,
5400,5.1593313,2.0528905,,,,,,,,,,,,,,
5500,3.3096318,1.9410414,,,,,,,,,,,,,,
5600,2.8930516,2.0138903,,,,,,,,,,,,,,
5605,,,0.8513874,0.2599757026892705,0.9749225,0.2722998349054327,5348.0,0.6446429,0.1994597119818008,2472.0,4336.195417165756,4907.917762994766,4336.195417165756,571.3350307941437,0.1324553489685058,0.0
5700,3.162447,2.0260072,,,,,,,,,,,,,,
5800,2.3473082,1.9469999,,,,,,,,,,,,,,
5900,4.86016,2.1975453,,,,,,,,,,,,,,
6000,4.03227,2.0602138,,,,,,,,,,,,,,
6100,2.9007974,2.9852583,,,,,,,,,,,,,,
6200,2.5030978,2.0945258,,,,,,,,,,,,,,
6300,2.6152334,2.0091143,,,,,,,,,,,,,,
6400,1.852979,2.121009,,,,,,,,,,,,,,
6500,1.9105072,2.0360036,,,,,,,,,,,,,,
6600,3.318472,2.0120962,,,,,,,,,,,,,,
6700,3.172434,2.0374854,,,,,,,,,,,,,,
6800,4.5438576,1.9800771,,,,,,,,,,,,,,
6900,3.6505554,1.9582407,,,,,,,,,,,,,,
7000,4.5426903,1.9615184,,,,,,,,,,,,,,
7100,4.555605,2.0013406,,,,,,,,,,,,,,
7200,3.2534082,2.0303922,,,,,,,,,,,,,,
7300,3.077942,1.9759678,,,,,,,,,,,,,,
7400,5.899155,1.9915137,,,,,,,,,,,,,,
7472,,,0.8907499,0.2634945591928149,0.97102195,0.2661498209061857,5348.0,0.6244865,0.1915381959254971,2472.0,5776.223026514053,6478.2153515815735,5776.223026514053,701.4711322784424,0.1807506084442138,0.0
7500,4.033106,1.9566784,,,,,,,,,,,,,,
7600,3.1090055,1.9046273,,,,,,,,,,,,,,
7700,3.8848262,1.9422774,,,,,,,,,,,,,,
7800,2.5309596,1.954315,,,,,,,,,,,,,,
7900,3.4335594,1.9744701,,,,,,,,,,,,,,
8000,2.094106,1.9884642,,,,,,,,,,,,,,
8100,2.009635,1.9560281,,,,,,,,,,,,,,
8200,4.629459,1.8684502,,,,,,,,,,,,,,
8300,2.2262366,1.8776187,,,,,,,,,,,,,,
8400,2.3593116,1.9051846,,,,,,,,,,,,,,
8500,3.421912,1.8453041,,,,,,,,,,,,,,
8600,3.7629588,1.9940926,,,,,,,,,,,,,,
8700,2.6499147,2.0416596,,,,,,,,,,,,,,
8800,3.1045249,1.8721411,,,,,,,,,,,,,,
8900,3.1781046,1.840653,,,,,,,,,,,,,,
9000,2.4384377,1.9322294,,,,,,,,,,,,,,
9100,3.4908752,1.9637588,,,,,,,,,,,,,,
9200,2.2548845,1.9936152,,,,,,,,,,,,,,
9300,3.3851745,1.8350189,,,,,,,,,,,,,,
9327,,,0.8192644,0.243019991015274,0.89382845,0.2470625718064821,5348.0,0.57379514,0.1766904312148355,2472.0,7216.673100471497,8048.553774595261,7216.673100471497,831.224268913269,0.2314159870147705,0.0
9400,4.3691316,1.9300504,,,,,,,,,,,,,,
9500,3.455959,1.9012105,,,,,,,,,,,,,,
9600,2.035026,1.8601848,,,,,,,,,,,,,,
9700,2.980479,1.9562624,,,,,,,,,,,,,,
9800,2.4756436,1.8705006,,,,,,,,,,,,,,
9900,1.9848266,1.8510431,,,,,,,,,,,,,,
10000,2.4186146,1.8745108,,,,,,,,,,,,,,
10100,4.2333403,1.8556246,,,,,,,,,,,,,,
10200,4.115133,1.8660597,,,,,,,,,,,,,,
10300,2.4362686,1.876783,,,,,,,,,,,,,,
10400,4.4592986,1.9404185,,,,,,,,,,,,,,
10500,2.8208992,1.8746549,,,,,,,,,,,,,,
10600,2.5062678,1.8835528,,,,,,,,,,,,,,
10700,3.2962425,1.89064,,,,,,,,,,,,,,
10800,3.3371572,1.9052867,,,,,,,,,,,,,,
10900,3.8313315,1.7727915,,,,,,,,,,,,,,
11000,4.1214566,1.9309185,,,,,,,,,,,,,,
11100,2.6807806,1.8905176,,,,,,,,,,,,,,
11200,2.1265912,1.8657237,,,,,,,,,,,,,,
11202,,,0.77553225,0.2367157819791857,0.8555793,0.2415401102561379,5348.0,0.54874396,0.1715109784087908,2472.0,8657.137380123138,9620.26033258438,8657.137380123138,962.327393770218,0.2845883369445801,0.0
11300,6.33875,1.8647983,,,,,,,,,,,,,,
11400,2.0215347,1.9545947,,,,,,,,,,,,,,
11500,2.0989826,1.8319385,,,,,,,,,,,,,,
11600,2.3026588,1.784651,,,,,,,,,,,,,,
11700,4.959821,1.7686601,,,,,,,,,,,,,,
11800,4.1056743,1.86542,,,,,,,,,,,,,,
11900,1.7103857,1.8952332,,,,,,,,,,,,,,
12000,4.2939067,1.8493944,,,,,,,,,,,,,,
12100,2.4461756,1.853953,,,,,,,,,,,,,,
12200,4.951642,1.8499284,,,,,,,,,,,,,,
12300,2.5218391,1.8841981,,,,,,,,,,,,,,
12400,2.6794014,1.828579,,,,,,,,,,,,,,
12500,4.118846,1.8822178,,,,,,,,,,,,,,
12600,2.4527068,1.8795476,,,,,,,,,,,,,,
12700,2.1501417,1.8235875,,,,,,,,,,,,,,
12800,3.0315068,1.8779513,,,,,,,,,,,,,,
12900,2.0818782,1.8514336,,,,,,,,,,,,,,
13000,4.2340145,1.785016,,,,,,,,,,,,,,
13074,,,0.687591,0.2090459084094702,0.8205807,0.2295779951147455,5348.0,0.5158074,0.1610708264781752,2472.0,10097.43169784546,11191.052989721298,10097.43169784546,1092.690021276474,0.3334639072418213,0.0
13100,2.4772785,1.8452414,,,,,,,,,,,,,,
13200,3.8762343,1.7701594,,,,,,,,,,,,,,
13300,2.8173294,1.870097,,,,,,,,,,,,,,
13400,1.5132339,1.7920176,,,,,,,,,,,,,,
13500,2.5127203,1.8380208,,,,,,,,,,,,,,
13600,2.5098894,1.7997038,,,,,,,,,,,,,,
13700,2.6904135,1.914872,,,,,,,,,,,,,,
13800,2.7258804,1.7380786,,,,,,,,,,,,,,
13900,2.6785357,1.8272003,,,,,,,,,,,,,,
14000,2.6398032,1.7333369,,,,,,,,,,,,,,
14100,2.0586755,1.7651445,,,,,,,,,,,,,,
14200,2.2423573,1.7970889,,,,,,,,,,,,,,
14300,1.7796319,1.759606,,,,,,,,,,,,,,
14400,2.6165988,1.8116392,,,,,,,,,,,,,,
14500,2.4639535,1.8296741,,,,,,,,,,,,,,
14600,3.293213,1.72166,,,,,,,,,,,,,,
14700,2.6785603,1.7732341,,,,,,,,,,,,,,
14800,2.7277803,1.714175,,,,,,,,,,,,,,
14900,2.6251302,1.8055775,,,,,,,,,,,,,,
14952,,,0.63921106,0.1976266962376962,0.79561263,0.224673431360244,5348.0,0.49638095,0.1571303800296549,2472.0,11537.74842619896,12762.179047107697,11537.74842619896,1223.362502336502,0.3845009803771972,0.0
15000,2.1026168,1.786244,,,,,,,,,,,,,,
15100,2.011616,1.7998711,,,,,,,,,,,,,,
15200,3.8916097,1.7595292,,,,,,,,,,,,,,
15300,2.2790086,1.7697138,,,,,,,,,,,,,,
