global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.305959,0.7359338,,,,,,,,,,,,,,,,,
1,,,0.5290504693984985,0.7363465428352356,0.0208464848778457,0.5270814895629883,0.737440824508667,0.024032072784418,43793.0,0.5256852507591248,0.7376683354377747,0.0260269185740518,43793.0,18.12672519683838,323.5901656150818,18.12672519683838,305.463401556015,0.0,0.0
100,0.602501,0.4509123,,,,,,,,,,,,,,,,,
200,0.36551422,0.33057827,,,,,,,,,,,,,,,,,
300,0.2652188,0.2370993,,,,,,,,,,,,,,,,,
400,0.1740951,0.16176589,,,,,,,,,,,,,,,,,
500,0.106396325,0.11636761,,,,,,,,,,,,,,,,,
600,0.06633883,0.088116735,,,,,,,,,,,,,,,,,
700,0.043617,0.07043259,,,,,,,,,,,,,,,,,
738,,,0.986726939678192,0.0696189478039741,0.0375416835773601,0.9841179251670836,0.0782666727900505,0.039824265408219,43793.0,0.983142077922821,0.0811450853943824,0.041607852548778,43793.0,258.0806932449341,683.0615284442902,258.0806932449341,424.9269685745239,0.0321342945098876,0.0
800,0.07282408,0.068949625,,,,,,,,,,,,,,,,,
900,0.35891122,0.05988559,,,,,,,,,,,,,,,,,
1000,0.18956766,0.05538078,,,,,,,,,,,,,,,,,
1100,0.2274813,0.050127164,,,,,,,,,,,,,,,,,
1200,0.17472644,0.052812506,,,,,,,,,,,,,,,,,
1300,0.1676615,0.047847264,,,,,,,,,,,,,,,,,
1400,0.11826427,0.052951373,,,,,,,,,,,,,,,,,
1472,,,0.9868612289428712,0.0518169067800045,0.0714212744243948,0.9841642379760742,0.0616440325975418,0.0751438053838872,43793.0,0.9831724166870116,0.0650959089398384,0.074120522459401,43793.0,498.13424348831177,1044.1351709365845,498.13424348831177,545.8983333110809,0.0606129169464111,0.0
1500,0.092025265,0.05878996,,,,,,,,,,,,,,,,,
1600,0.23107824,0.050965782,,,,,,,,,,,,,,,,,
1700,0.14124836,0.049557902,,,,,,,,,,,,,,,,,
1800,0.055839233,0.051149003,,,,,,,,,,,,,,,,,
1900,0.069842964,0.05170739,,,,,,,,,,,,,,,,,
2000,0.14490569,0.047500458,,,,,,,,,,,,,,,,,
2100,0.17302439,0.0476358,,,,,,,,,,,,,,,,,
2200,0.11109031,0.047356855,,,,,,,,,,,,,,,,,
2221,,,0.9878098964691162,0.043958980590105,0.136974567316324,0.9851465821266174,0.0528057515621185,0.1295014808454525,43793.0,0.9841352701187134,0.0557597503066062,0.1304286933554119,43793.0,738.378705739975,1407.2695829868317,738.378705739975,668.7412447929382,0.0881714820861816,0.0
2300,0.08574845,0.043842334,,,,,,,,,,,,,,,,,
2400,0.07295684,0.04717003,,,,,,,,,,,,,,,,,
2500,0.17090803,0.04806999,,,,,,,,,,,,,,,,,
2600,0.09688294,0.04246784,,,,,,,,,,,,,,,,,
2700,0.1143397,0.047789153,,,,,,,,,,,,,,,,,
2800,0.10518013,0.04677713,,,,,,,,,,,,,,,,,
2900,0.1010825,0.04361195,,,,,,,,,,,,,,,,,
2968,,,0.9880942702293396,0.0420986711978912,0.1608620839752452,0.985255777835846,0.0515386573970317,0.1466299149649001,43793.0,0.9843475222587584,0.0542657747864723,0.1536343785086584,43793.0,978.384375333786,1769.2708656787872,978.384375333786,790.6891014575958,0.1168539524078369,0.0
3000,0.061159454,0.04121742,,,,,,,,,,,,,,,,,
3100,0.07749809,0.046617355,,,,,,,,,,,,,,,,,
3200,0.06094758,0.040623214,,,,,,,,,,,,,,,,,
3300,0.073697835,0.043831185,,,,,,,,,,,,,,,,,
3400,0.107740805,0.039825737,,,,,,,,,,,,,,,,,
3500,0.08223354,0.0466459,,,,,,,,,,,,,,,,,
3600,0.11345597,0.04417498,,,,,,,,,,,,,,,,,
3700,0.10969038,0.04126257,,,,,,,,,,,,,,,,,
3714,,,0.988378643989563,0.0402594655752182,0.1823391436100207,0.9854835271835328,0.0498136468231678,0.1700115195174815,43793.0,0.9845543503761292,0.0525040216743946,0.1697330694428799,43793.0,1218.5362486839294,2135.0145077705383,1218.5362486839294,916.2338988780976,0.1446871757507324,0.0
3800,0.05346959,0.040660724,,,,,,,,,,,,,,,,,
3900,0.07729036,0.043436106,,,,,,,,,,,,,,,,,
4000,0.06037007,0.043977648,,,,,,,,,,,,,,,,,
4100,0.059038922,0.039318323,,,,,,,,,,,,,,,,,
4200,0.11085991,0.042250667,,,,,,,,,,,,,,,,,
